delta,errors_joint,errors_amatch,error_rate_joint,error_rate_amatch,auroc_joint,auroc_amatch,joint_weight_index,joint_lambda_index,amatch_weight_index,amatch_lambda_index,r
2.0,1206,1208,0.29443359375,0.294921875,0.7158233433670281,0.7231065177672725,2,3,5,2,173
0.0,1208,1208,0.294921875,0.294921875,0.7166562513416688,0.7231065177672725,2,3,5,2,174
0.0,1208,1208,0.294921875,0.294921875,0.7165033607312035,0.7231065177672725,2,3,5,2,175
0.0,1208,1208,0.294921875,0.294921875,0.7521803012016582,0.7231065177672725,2,2,5,2,176
0.0,1208,1208,0.294921875,0.294921875,0.7161400964570404,0.7231065177672725,2,3,5,2,177
0.0,1208,1208,0.294921875,0.294921875,0.7162393203165622,0.7231065177672725,2,3,5,2,178
-1.0,1209,1208,0.295166015625,0.294921875,0.7161002638018957,0.7231065177672725,2,3,5,2,179
0.0,1208,1208,0.294921875,0.294921875,0.7464634803722804,0.7231065177672725,4,2,5,2,180
0.0,1208,1208,0.294921875,0.294921875,0.7163516627152037,0.7231065177672725,2,3,5,2,181
-95.0,1303,1208,0.318115234375,0.294921875,0.7506974292433705,0.7231065177672725,2,0,5,2,182
0.0,1208,1208,0.294921875,0.294921875,0.7451862116998287,0.7231065177672725,4,2,5,2,183
0.0,1208,1208,0.294921875,0.294921875,0.7168062797254171,0.7231065177672725,2,3,5,2,184
0.0,1208,1208,0.294921875,0.294921875,0.7324853191621309,0.7231065177672725,6,2,5,2,185
0.0,1208,1208,0.294921875,0.294921875,0.7161498757316567,0.7231065177672725,2,3,5,2,186
0.0,1208,1208,0.294921875,0.294921875,0.7163910183325621,0.7231065177672725,2,3,5,2,187
0.0,1208,1208,0.294921875,0.294921875,0.7162696122159836,0.7231065177672725,2,3,5,2,188
0.0,1208,1208,0.294921875,0.294921875,0.7166662691351782,0.7231065177672725,2,3,5,2,189
0.0,1208,1208,0.294921875,0.294921875,0.7330835245459794,0.7231065177672725,6,2,5,2,190
0.0,1208,1208,0.294921875,0.294921875,0.7167638233624485,0.7231065177672725,2,3,5,2,191
0.0,1208,1208,0.294921875,0.294921875,0.7166567283794549,0.7231065177672725,2,3,5,2,192
-4.0,1212,1208,0.2958984375,0.294921875,0.7468992543899402,0.7231065177672725,4,2,5,2,193
0.0,1208,1208,0.294921875,0.294921875,0.7160749807992292,0.7231065177672725,2,3,5,2,194
0.0,1208,1208,0.294921875,0.294921875,0.716256016639078,0.7231065177672725,2,3,5,2,195
-104.0,1312,1208,0.3203125,0.294921875,0.6996498542649564,0.7231065177672725,5,3,5,2,196
-6.0,1214,1208,0.29638671875,0.294921875,0.7516732100349669,0.7231065177672725,2,2,5,2,197
0.0,1208,1208,0.294921875,0.294921875,0.7164661517838828,0.7231065177672725,2,3,5,2,198
0.0,1208,1208,0.294921875,0.294921875,0.7324409546480177,0.7231065177672725,6,2,5,2,199
-9.0,1217,1208,0.297119140625,0.294921875,0.7521867412117714,0.7231065177672725,2,2,5,2,200
0.0,1208,1208,0.294921875,0.294921875,0.74505240260081,0.7231065177672725,4,2,5,2,201
0.0,1208,1208,0.294921875,0.294921875,0.7517092263878222,0.7231065177672725,2,2,5,2,202
0.0,1208,1208,0.294921875,0.294921875,0.716364065697644,0.7231065177672725,2,3,5,2,203
0.0,1208,1208,0.294921875,0.294921875,0.7157229269130407,0.7231065177672725,2,3,5,2,204
0.0,1208,1208,0.294921875,0.294921875,0.7161904239434806,0.7231065177672725,2,3,5,2,205
0.0,1208,1208,0.294921875,0.294921875,0.7163449841861973,0.7231065177672725,2,3,5,2,206
0.0,1208,1208,0.294921875,0.294921875,0.7165796867769896,0.7231065177672725,2,3,5,2,207
0.0,1208,1208,0.294921875,0.294921875,0.7516080943771556,0.7231065177672725,2,2,5,2,208
0.0,1208,1208,0.294921875,0.294921875,0.7165932823538952,0.7231065177672725,2,3,5,2,209
0.0,1208,1208,0.294921875,0.294921875,0.7158746249290406,0.7231065177672725,2,3,5,2,210
0.0,1208,1208,0.294921875,0.294921875,0.7330362978051491,0.7231065177672725,6,2,5,2,211
0.0,1208,1208,0.294921875,0.294921875,0.7333263367791363,0.7231065177672725,6,2,5,2,212
0.0,1208,1208,0.294921875,0.294921875,0.7457469696174633,0.7231065177672725,4,2,5,2,213
0.0,1208,1208,0.294921875,0.294921875,0.7163559560552791,0.7231065177672725,2,3,5,2,214
0.0,1208,1208,0.294921875,0.294921875,0.7436992849203586,0.7231065177672725,4,2,5,2,215
0.0,1208,1208,0.294921875,0.294921875,0.7382565222991313,0.7231065177672725,5,2,5,2,216
-49.0,1257,1208,0.306884765625,0.294921875,0.7578580049325707,0.7231065177672725,4,1,5,2,217
2.0,1206,1208,0.29443359375,0.294921875,0.715395678991733,0.7231065177672725,2,3,5,2,218
