delta,correct_pad,correct_amatch,auroc_pad,auroc_amatch,delta_vs_p_only,pad_w0,pad_w1,pad_w2,pad_w3,pad_w4,pad_w5,pad_w6,pad_l0,pad_l1,pad_l2,pad_l3,pad_l4,am_w0,am_w1,am_w2,am_w3,am_w4,am_w5,am_w6,am_l0,am_l1,am_l2,am_l3,am_l4,min_train_pairs,mean_train_pairs,r,kind
3.0,604,601,0.9673638457537707,0.9598409985883051,7.0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,2,2,0,1,0,0,0,0,4,1,498,525.6,85,null
1.0,610,609,0.9737629095772345,0.9751467419570548,13.0,0,0,0,3,0,0,2,0,0,0,0,5,0,0,0,2,0,1,2,0,0,0,1,4,498,525.6,86,null
-1.0,614,615,0.9728248755479604,0.9732985362954156,17.0,0,0,0,4,0,0,1,0,0,0,2,3,0,0,0,2,0,2,1,0,0,0,3,2,498,525.6,87,null
0.0,603,603,0.9727320008915967,0.9726205513039602,6.0,0,0,0,4,0,0,1,0,0,1,2,2,0,0,0,4,0,0,1,0,0,1,2,2,498,525.6,88,null
-2.0,614,616,0.9715896426183223,0.9708559328330485,17.0,0,0,0,1,0,4,0,0,0,1,4,0,0,0,0,0,0,5,0,0,0,0,5,0,498,525.6,89,null
3.0,606,603,0.9750910171632364,0.9708745077643213,9.0,0,0,2,1,0,1,1,0,0,0,2,3,0,0,1,1,0,1,2,0,0,0,1,4,498,525.6,90,null
-1.0,611,612,0.9734378482799614,0.9731963741734155,14.0,0,0,0,1,0,0,4,0,0,0,0,5,0,0,0,1,0,0,4,0,0,0,0,5,498,525.6,91,null
1.0,608,607,0.9704937216732299,0.9717196671372316,11.0,0,0,0,1,0,1,3,0,0,0,2,3,0,0,0,3,0,1,1,0,0,0,2,3,498,525.6,92,null
-2.0,614,616,0.96503269187904,0.973038487257597,17.0,0,0,0,0,0,0,5,0,0,1,0,4,0,0,0,1,0,0,4,0,0,0,0,5,498,525.6,93,null
-5.0,608,613,0.9794375510810609,0.9764005498179655,11.0,0,0,0,1,0,3,1,0,0,0,4,1,0,0,1,0,0,3,1,0,0,0,4,1,498,525.6,94,null
1.0,599,598,0.9505349580206552,0.9611691061743072,2.0,0,0,3,1,0,0,1,0,0,0,2,3,0,0,3,2,0,0,0,0,0,0,0,5,498,525.6,95,null
-2.0,596,598,0.9631380488892191,0.9748123931941451,-1.0,0,0,0,2,2,1,0,0,1,1,0,3,0,0,1,3,0,1,0,0,2,0,1,2,498,525.6,96,null
0.0,615,615,0.9784995170517868,0.9773571587785125,18.0,0,0,0,0,0,4,1,0,0,0,5,0,0,0,0,1,0,4,0,0,0,0,4,1,498,525.6,97,null
-3.0,604,607,0.9693699383312282,0.9714410431681404,7.0,0,0,0,4,0,1,0,0,0,0,1,4,0,0,0,4,0,0,1,0,0,0,0,5,498,525.6,98,null
5.0,600,595,0.9681532803328627,0.9587450776432127,3.0,0,0,0,1,0,2,2,0,1,2,1,1,1,0,1,0,0,1,2,0,0,1,1,3,498,525.6,99,null
-1.0,607,608,0.9665186863808604,0.9710974069395943,10.0,0,0,0,3,0,1,1,0,0,1,1,3,0,0,0,2,0,0,3,0,0,0,0,5,498,525.6,100,null
-1.0,610,611,0.9689798647745004,0.9690077271714096,13.0,0,0,0,4,0,0,1,0,0,0,1,4,0,0,0,5,0,0,0,0,0,0,0,5,498,525.6,102,null
2.0,610,608,0.9699550486663199,0.9688312653243183,13.0,0,0,0,4,0,1,0,0,0,0,1,4,0,0,1,2,0,2,0,0,0,0,2,3,498,525.6,101,null
0.0,610,610,0.9741901329965079,0.9745244817594174,13.0,0,0,0,4,0,0,1,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5,498,525.6,103,null
1.0,606,605,0.9694535255219555,0.9699643361319563,9.0,0,0,0,2,0,1,2,0,0,0,3,2,0,0,0,3,0,1,1,0,0,0,3,2,498,525.6,105,null
