a,b,fold,target,P_score,covered,n_records,single_a,single_b,z,sd,p,reported_epsilon,epsilon,raw_mask,centered_mask,centered_retain,mask_layout_agreement,retain_layout_agreement,score_inconsistency,single_fitness_missing,pair
EST3,PHO23,0,-1,-3.3736711189760142,True,2.0,0.9925,0.8772,0.80655,0.0378,0.053855,-0.06405,-0.06407099999999999,0.11530000000000007,0.0,0.2595701190089588,0.0,1.0,False,False,EST3|PHO23
EST3,PTP3,0,1,0.0759172386426712,True,2.0,0.9925,1.0545,1.0234,0.0427,0.31065,-0.0232,-0.023191250000000108,-0.000200000000000089,-0.046382500000000215,-0.29909678390413497,1.0,1.0,False,False,EST3|PTP3
EST3,RTF1,0,-1,-1.9435793197539084,True,2.0,0.9925,0.5465,0.475,0.0663,0.09870000000000001,-0.0674,-0.06740125000000005,0.44600000000000006,-2.7755575615628914e-17,-0.05091465302797977,0.5,1.0,False,False,EST3|RTF1
GIS4,STP3,0,1,3.372603860880341,True,2.0,0.8692,0.9872,0.8492,0.0402,0.0401162,-0.008899999999999998,-0.008874240000000033,-0.08250000000000002,0.035499999999999976,-0.016554322426493552,0.5,0.0,False,False,GIS4|STP3
GPH1,GTR1,0,-1,-4.9068853453304655,True,2.0,1.014,0.8087,0.7513000000000001,0.1229,0.213925,-0.06875,-0.0687218,0.17259999999999998,-0.010056399999999965,0.6931281317189417,0.0,0.0,False,False,GPH1|GTR1
GPH1,HOS4,0,-1,-6.625140016253357,True,2.0,1.014,0.96,0.9210499999999999,0.0933,0.2618,-0.05235,-0.05238999999999999,0.05400000000000005,0.026880000000000015,0.7831768473619455,1.0,1.0,False,False,GPH1|HOS4
GPH1,INO4,0,-1,-5.372247110997734,True,2.0,1.014,0.6017,0.51275,0.0793,0.10211999999999999,-0.0974,-0.09737379999999998,0.4123,0.01684759999999999,0.746331002785052,1.0,1.0,False,False,GPH1|INO4
GPH1,INP52,0,-1,-6.548176273167806,True,1.0,1.014,0.973,1.0143,0.0115,0.05288,0.0277,0.02767799999999998,-0.041000000000000036,-0.05475600000000003,-0.3751642252656516,1.0,1.0,False,False,GPH1|INP52
GPH1,IPK1,0,-1,-5.429732961728955,True,2.0,1.014,0.837,0.8344,0.0906,0.42455,-0.01435,-0.014317999999999942,0.16849999999999998,0.01493599999999995,0.1546376411981187,1.0,1.0,False,False,GPH1|IPK1
GPH1,IRS4,0,-1,-8.13931232946048,True,2.0,1.014,0.9555,0.9527,0.0519,0.38305,-0.016149999999999998,-0.016176999999999997,0.05730000000000002,0.025553999999999966,0.2446829452359076,1.0,1.0,False,False,GPH1|IRS4
GPH1,JNM1,0,-1,-7.059369307195704,True,2.0,1.014,0.9055,0.9117500000000001,0.0218,0.29675,-0.00645,-0.006427000000000016,0.08579999999999999,0.002654000000000045,0.08651008106060928,0.0,0.0,False,False,GPH1|JNM1
GPH1,LEU3,0,-1,-6.71328357621576,True,2.0,1.014,1.0152,1.02745,0.0408,0.46404999999999996,-0.00195,-0.0019627999999999313,0.0012000000000000899,0.0,-0.0007316670355076802,0.0,1.0,False,False,GPH1|LEU3
GPH1,MOT3,0,-1,-5.7515276217612215,True,2.0,1.014,0.9357,0.944,0.0487,0.19905,-0.004799999999999999,-0.004799799999999965,0.030000000000000027,-0.02210040000000002,0.07144337043713239,0.0,0.0,False,False,GPH1|MOT3
GPH1,MRE11,0,-1,-8.040924320856924,True,2.0,1.014,0.674,0.6708000000000001,0.036,0.0302305,-0.012650000000000002,-0.012636000000000036,0.27680000000000005,-0.04432799999999992,0.1034871084540602,0.0,0.0,False,False,GPH1|MRE11
GPH1,MSH1,0,-1,-5.013171668468045,True,1.0,1.014,1.0235,0.981,0.024,0.04243,-0.0569,-0.05682900000000013,-0.009500000000000064,-0.019000000000000128,-0.1424339283808982,1.0,1.0,False,False,GPH1|MSH1
GPH1,NCS6,0,-1,-6.416962498954877,True,2.0,1.014,0.8272,0.8523000000000001,0.1322,0.261215,0.0135,0.013519199999999898,0.13660000000000005,-0.027038399999999796,-0.14239544311457908,0.0,0.0,False,False,GPH1|NCS6
GPH1,NPR2,0,-1,-5.894575761086887,True,1.0,1.014,,0.9623,0.0157,0.01111,-0.0517,,0.0,0.0,0.0,0.0,0.0,False,True,GPH1|NPR2
GPH1,NUP133,0,-1,-6.512011553595582,True,2.0,1.014,0.8825,0.91065,0.0586,0.2609,0.0158,0.01579500000000006,0.05669999999999997,-0.05009000000000008,-0.195837534817279,0.0,0.0,False,False,GPH1|NUP133
GPH1,OPI3,0,-1,-1.384277241380358,True,1.0,1.014,0.412,0.4037,0.0274,0.3426,-0.0141,-0.01406799999999997,0.6020000000000001,0.01153599999999999,0.09680682673565913,1.0,1.0,False,False,GPH1|OPI3
GPH1,PIH1,0,-1,-7.01266346123585,True,2.0,1.014,0.9017,0.8843000000000001,0.1532,0.1032001179,-0.03005,-0.03002379999999988,0.046699999999999964,-0.04035240000000018,0.3985611148392155,0.0,0.0,False,False,GPH1|PIH1
GPH1,RAD27,0,-1,-5.278844125770361,True,2.0,1.014,0.8165,0.8108500000000001,0.0686,0.10604,-0.017050000000000003,-0.017080999999999957,0.12370000000000003,-0.05093800000000004,0.17535060646191414,0.0,0.0,False,False,GPH1|RAD27
GPH1,RCY1,0,-1,-8.070153932955282,True,1.0,1.014,0.2265,0.2545,0.0432,0.3387,0.0248,0.02482899999999999,0.7315,-0.04965799999999998,-0.1608999542513898,1.0,1.0,False,False,GPH1|RCY1
GPH1,RPA14,0,-1,-5.8448066838986446,True,2.0,1.014,0.8662,0.8682,0.0605,0.252785,-0.0101,-0.010126799999999991,0.12950000000000006,0.005953600000000003,0.11899919108354501,0.0,0.0,False,False,GPH1|RPA14
GPH1,RPN13,0,-1,-6.25776982108488,True,1.0,1.014,1.0317,1.0768,0.0107,0.0271,0.0307,0.03065619999999991,0.01770000000000005,0.0,0.11807627986826316,0.0,1.0,False,False,GPH1|RPN13
GPH1,RTG2,0,-1,-7.229338378423358,True,2.0,1.014,0.595,0.56925,0.1031,0.24845,-0.03405,-0.034080000000000055,0.38570000000000004,-0.016639999999999877,0.25985814589285217,0.0,0.0,False,False,GPH1|RTG2
GPH1,SAM4,0,-1,-4.092837595794778,True,2.0,1.014,1.004,1.0021,0.0757,0.32465,-0.01595,-0.01595600000000008,0.0,0.010000000000000009,0.05749031716303524,0.5,0.0,False,False,GPH1|SAM4
GPH1,SET2,0,-1,-5.48229060520559,True,2.0,1.014,0.91,0.8828,0.0433,0.2402533,-0.039900000000000005,-0.039939999999999976,0.09389999999999998,0.01537999999999995,0.5465167683780301,1.0,1.0,False,False,GPH1|SET2
GPH1,SGS1,0,-1,-5.745337570066023,True,2.0,1.014,0.8638,0.8058000000000001,0.0934,0.1097,-0.0701,-0.07009320000000002,0.1502,0.024186400000000052,0.8175006282696764,1.0,1.0,False,False,GPH1|SGS1
