task,shuffle,F_AUROC,d_AUROC,known_correct,delta_F,delta_d,delta_known
M,35,0.6294136702299967,0.5740200842241658,13,-0.07191448007774537,-0.10106899902818267,-5
M,36,0.7677356656948493,0.724651765468092,19,0.06640751538710721,0.04956268221574345,1
M,37,0.6861030126336249,0.6417233560090703,13,-0.01522513767411715,-0.03336572724327824,-5
M,38,0.705539358600583,0.6893424036281178,16,0.00421120829284094,0.014253320375769318,-2
M,39,0.7567217363135731,0.6660187884677681,15,0.055393586005831,-0.009070294784580435,-3
M,40,0.6171039844509232,0.5694849368318755,13,-0.08422416585681891,-0.105604146420473,-5
M,41,0.5636540330417881,0.5665694849368319,13,-0.13767411726595402,-0.10851959831551661,-5
M,42,0.6057661159701975,0.6012309685779074,15,-0.09556203433754462,-0.07385811467444114,-3
M,43,0.6637512147716229,0.6439909297052154,16,-0.03757693553611918,-0.03109815354713308,-2
M,44,0.6368642695173308,0.6067379332685455,15,-0.06446388079041132,-0.06835114998380298,-3
M,45,0.67444120505345,0.658568189180434,14,-0.02688694525429214,-0.016520894071914483,-4
M,46,0.7074829931972788,0.630709426627794,13,0.006154842889536716,-0.044379656624554564,-5
M,47,0.6196954972465176,0.6015549076773566,15,-0.08163265306122447,-0.07353417557499187,-3
M,48,0.68837058632977,0.6485260770975056,16,-0.012957563977972097,-0.02656300615484286,-2
M,49,0.7314544865565273,0.6601878846776805,17,0.030126336248785246,-0.014901198574667984,-1
M,50,0.6388079041140265,0.6077097505668934,13,-0.06252024619371555,-0.06737933268545515,-5
M,51,0.7103984450923226,0.6919339164237124,17,0.009070294784580546,0.01684483317136387,-1
M,52,0.671201814058957,0.624230644638808,15,-0.030126336248785135,-0.05085843861354056,-3
M,53,0.547457078069323,0.5756397797214123,13,-0.15387107223841912,-0.09944930353093617,-5
M,54,0.5996112730806609,0.5617103984450923,13,-0.10171687722708123,-0.11337868480725621,-5
M,55,0.6899902818270165,0.6569484936831875,15,-0.0113378684807256,-0.01814058956916098,-3
M,56,0.565597667638484,0.550696469063816,14,-0.13573048266925813,-0.12439261418853254,-4
M,57,0.5296404275996114,0.5494007126660188,12,-0.1716877227081307,-0.12568837058632976,-6
M,58,0.5792031098153547,0.5898931000971817,12,-0.12212504049238737,-0.08519598315516685,-6
M,59,0.6103012633624879,0.5898931000971818,14,-0.09102688694525418,-0.08519598315516674,-4
M,60,0.6527372853903466,0.6660187884677681,15,-0.048590864917395504,-0.009070294784580435,-3
M,61,0.605118237771299,0.6080336896663427,12,-0.09620991253644307,-0.06705539358600576,-6
M,62,0.6741172659540007,0.6413994169096209,15,-0.027210884353741416,-0.03368966634272763,-3
M,63,0.6099773242630385,0.6206673145448656,15,-0.09135082604470357,-0.05442176870748294,-3
M,64,0.6601878846776806,0.620991253644315,16,-0.04114026563006146,-0.054097829608033554,-2
M,65,0.706511175898931,0.6977648202137998,15,0.005183025591188883,0.02267573696145131,-3
M,66,0.7392290249433107,0.7035957240038873,17,0.03790087463556857,0.028506640751538748,-1
M,67,0.7291869128603822,0.7184969225785554,16,0.02785876255264008,0.04340783932620684,-2
M,68,0.546485260770975,0.49627470035633303,11,-0.15484288953676706,-0.17881438289601548,-7
M,69,0.45481049562682213,0.49465500485908653,11,-0.24651765468091996,-0.18043407839326198,-7
M,70,0.6183997408487205,0.5798509880142533,11,-0.08292840945902158,-0.09523809523809523,-7
M,71,0.5986394557823129,0.5597667638483965,12,-0.10268869452542917,-0.11532231940395199,-6
M,72,0.7110463232912212,0.6611597019760286,16,0.0097181729834791,-0.01392938127631993,-2
M,73,0.7026239067055394,0.6543569808875931,16,0.0012957563977973319,-0.020732102364755423,-2
M,74,0.5840621963070942,0.5727243278263686,13,-0.11726595400064788,-0.10236475542597989,-5
M,75,0.6041464204729512,0.6469063816002592,15,-0.0971817298347909,-0.02818270165208936,-3
M,76,0.6802721088435374,0.6656948493683187,15,-0.0210560414642047,-0.009394233884029823,-3
M,77,0.5030774214447684,0.4956268221574344,12,-0.19825072886297368,-0.1794622610949141,-6
M,78,0.5999352121801101,0.5396825396825397,12,-0.10139293812763195,-0.13540654356980886,-6
M,79,0.6034985422740524,0.6096533851635892,15,-0.09782960803368967,-0.06543569808875926,-3
M,80,0.717201166180758,0.6967930029154519,18,0.015873015873015928,0.021703919663103366,0
M,81,0.7382572076449627,0.6559766763848397,16,0.03692905733722063,-0.019112406867508813,-2
M,82,0.6744412050534498,0.6051182377712989,13,-0.02688694525429225,-0.06997084548104959,-5
M,83,0.591188856494979,0.6067379332685455,13,-0.1101392938127631,-0.06835114998380298,-5
M,84,0.70229996760609,0.6977648202137998,17,0.0009718172983479434,0.02267573696145131,-1
M,85,0.6912860382248137,0.6449627470035634,15,-0.010042112082928378,-0.030126336248785135,-3
M,86,0.6569484936831875,0.6423712342079688,16,-0.044379656624554564,-0.03271784904437969,-2
M,87,0.6352445740200843,0.593456430191124,14,-0.06608357628765782,-0.08163265306122447,-4
M,88,0.7252996436669906,0.6922578555231617,15,0.02397149335924853,0.01716877227081315,-3
M,89,0.5322319403952057,0.49627470035633303,12,-0.16909620991253638,-0.17881438289601548,-6
M,90,0.5568513119533527,0.6031746031746031,15,-0.1444768383543894,-0.07191448007774537,-3
M,91,0.6154842889536767,0.565597667638484,13,-0.08584386135406541,-0.10949141561386455,-5
M,92,0.620991253644315,0.615808228053126,14,-0.08033689666342714,-0.05928085519922255,-4
M,93,0.6925817946226109,0.5843861354065436,14,-0.008746355685131157,-0.0907029478458049,-4
M,94,0.6799481697440881,0.6177518626498218,16,-0.021379980563653977,-0.05733722060252666,-2
M,95,0.6336248785228378,0.656300615484289,16,-0.06770327178490432,-0.018788467768059536,-2
M,96,0.6533851635892451,0.6925817946226109,17,-0.04794298671849695,0.017492711370262426,-1
M,97,0.6300615484288955,0.6320051830255913,15,-0.07126660187884659,-0.04308390022675723,-3
M,98,0.6128927761580822,0.5659216067379332,11,-0.08843537414965985,-0.10916747651441527,-7
M,99,0.7463556851311953,0.7142857142857143,18,0.04502753482345323,0.03919663103336579,0
V,0,0.6482021379980564,0.659540006478782,13,-0.1901522513767412,-0.1703919663103337,-8
V,1,0.7628765792031098,0.7395529640427599,17,-0.07547781017168775,-0.09037900874635574,-4
V,2,0.5192743764172336,0.5186264982183348,11,-0.31908001295756394,-0.31130547457078084,-10
V,3,0.6436669906057662,0.6663427275672174,16,-0.1946873987690314,-0.16358924522189833,-5
V,4,0.6287657920310981,0.6540330417881437,15,-0.2095885973436995,-0.17589893100097198,-6
V,5,0.6034985422740524,0.6303854875283447,15,-0.23485584710074514,-0.199546485260771,-6
V,6,0.6407515387107223,0.5821185617103984,13,-0.19760285066407524,-0.24781341107871724,-8
V,7,0.6511175898931001,0.600907029478458,12,-0.18723679948169747,-0.2290249433106577,-9
V,8,0.7609329446064139,0.7975380628441853,18,-0.07742144476838364,-0.03239390994493041,-3
V,9,0.6773566569484937,0.6647230320699709,17,-0.16099773242630389,-0.16520894071914483,-4
V,10,0.7288629737609329,0.6809199870424361,17,-0.10949141561386466,-0.14901198574667962,-4
V,11,0.7249757045675412,0.7048914804016845,17,-0.11337868480725632,-0.1250404923874312,-4
V,12,0.6757369614512472,0.6997084548104956,17,-0.16261742792355038,-0.13022351797862008,-4
V,13,0.6533851635892451,0.6783284742468416,17,-0.18496922578555242,-0.15160349854227406,-4
V,14,0.7771298995788791,0.7965662455458374,20,-0.061224489795918435,-0.03336572724327824,-1
V,15,0.7625526401036605,0.6323291221250404,15,-0.07580174927113703,-0.19760285066407524,-6
V,16,0.7356656948493683,0.6501457725947521,15,-0.10268869452542928,-0.17978620019436353,-6
V,17,0.6951733074182054,0.6786524133462909,14,-0.14318108195659218,-0.15127955944282478,-7
V,18,0.5924846128927761,0.5526401036605119,13,-0.24586977648202146,-0.2772918691286038,-8
V,19,0.7450599287333981,0.8202137998056366,20,-0.09329446064139946,-0.0097181729834791,-1
V,20,0.7159054097829607,0.7321023647554259,19,-0.12244897959183687,-0.09782960803368979,-2
V,21,0.6057661159701976,0.6034985422740525,12,-0.23258827340459998,-0.22643343051506315,-9
V,22,0.7589893100097181,0.7748623258827341,18,-0.07936507936507942,-0.05506964690638161,-3
V,23,0.7188208616780045,0.6980887593132491,16,-0.11953352769679304,-0.13184321347586658,-5
V,24,0.5905409782960803,0.6925817946226109,16,-0.24781341107871724,-0.13735017816650474,-5
V,25,0.6148364107547781,0.6106252024619371,13,-0.22351797862001943,-0.2193067703271786,-8
V,26,0.7482993197278911,0.691609977324263,16,-0.09005506964690646,-0.1383219954648527,-5
V,27,0.5578231292517006,0.568837058632977,13,-0.2805312601230969,-0.2610949141561387,-8
V,28,0.6971169420149013,0.6831875607385811,15,-0.1412374473598963,-0.14674441205053457,-6
V,29,0.6864269517330741,0.7178490443796566,16,-0.15192743764172345,-0.1120829284094591,-5
V,30,0.6780045351473922,0.7583414318108196,16,-0.16034985422740533,-0.07159054097829609,-5
V,31,0.7091026886945254,0.7654680919987042,18,-0.12925170068027214,-0.06446388079041143,-3
V,32,0.7000323939099449,0.7013281503077421,17,-0.1383219954648527,-0.1286038224813736,-4
V,33,0.7265954000647878,0.75348234531908,19,-0.11175898931000972,-0.0764496274700357,-2
V,34,0.5885973436993844,0.5442176870748299,11,-0.24975704567541313,-0.2857142857142858,-10
V,35,0.6452866861030127,0.6154842889536767,16,-0.1930677032717849,-0.214447683835439,-5
V,36,0.712989957887917,0.7204405571752511,17,-0.1253644314868806,-0.10949141561386455,-4
V,37,0.5675413022351798,0.5779073534175575,12,-0.2708130871396177,-0.2520246193715582,-9
V,38,0.6980887593132491,0.6695821185617103,14,-0.14026563006154846,-0.16034985422740533,-7
V,39,0.6854551344347262,0.6961451247165533,15,-0.1528992549400714,-0.13378684807256236,-6
V,40,0.764172335600907,0.7074829931972788,14,-0.07418205377389053,-0.12244897959183687,-7
V,41,0.5963718820861679,0.6229348882410106,13,-0.2419825072886297,-0.20699708454810506,-8
V,42,0.5814706835114998,0.5409782960803369,13,-0.2568837058632978,-0.2889536767087788,-8
V,43,0.7113702623906706,0.6741172659540007,17,-0.12698412698412698,-0.155814706835115,-4
V,44,0.6559766763848396,0.6773566569484937,15,-0.18237771298995797,-0.152575315840622,-6
V,45,0.7100745059928734,0.7068351149983803,17,-0.1282798833819242,-0.12309685779073543,-4
