q,deleted_gene,n,auc_joint,auc_additive,gain
0.0,OST5,146,0.8813492063492063,0.8242063492063492,0.05714285714285716
0.0,PCT1,166,0.8722495894909689,0.8082101806239737,0.06403940886699522
0.0,PMT1,166,0.8699507389162561,0.8065681444991789,0.06338259441707716
0.0,PMT2,166,0.8699507389162561,0.8065681444991789,0.06338259441707716
0.0,PSD2,166,0.8722495894909689,0.8082101806239737,0.06403940886699522
0.0,ROT2,146,0.8773311230832987,0.8172399502693742,0.06009117281392451
0.0,SEC22,164,0.8711288711288712,0.8088578088578089,0.06227106227106227
0.0,STP22,162,0.8683098591549295,0.8056338028169014,0.06267605633802809
0.0,TLG2,164,0.8717948717948718,0.8128538128538129,0.058941058941058944
0.0,UBC7,164,0.8681318681318682,0.803862803862804,0.0642690642690642
0.0,UFD2,164,0.8681318681318682,0.8028638028638029,0.06526806526806528
0.0,VPS28,162,0.8704225352112676,0.803169014084507,0.06725352112676053
