panel,a,b,label,unordered_pair,single_a,single_b,double,expected_no_interaction,n_measurements,double_observed,red_released,red_reverse,red_exchange_error,red_point_distance,raw_mask,single_only,P_score,P_available,P_feature_log_variance,P_feature_skew,P_feature_kurtosis,P_feature_log_witness_count,P_feature_nonlinear,pair
KEGG,ALG9,CWH41,0,ALG9|CWH41,2.1575587937777736,0.6157176119848133,2.375827804562991,2.6848385769016567,1,True,0.2858976842433647,0.4902502997209426,0.2238520160356927,0.2466681239860737,-1.5418411817929605,1.5418411817929605,0.5734837738446352,True,-0.3016155991959492,0.8963469617601083,-1.3420936339790774,-0.4700036292457354,-1.1568364015733918,ALG9|CWH41
KEGG,ALG6,CWH41,0,ALG6|CWH41,2.5299364083909355,0.6157176119848133,2.741270975950557,3.025019147957265,1,True,0.2354159677942238,0.417622026922876,0.3469620052829001,0.1970994858417016,-1.9142187964061224,1.914218796406122,1.1866033826118996,True,-0.5468760969510806,1.5952619151526275,-2.711611542062505,-0.9808292530117262,-0.0276402760985588,ALG6|CWH41
KEGG,ALG3,CWH41,0,ALG3|CWH41,2.822871835124776,0.6157176119848133,3.1460958468498785,3.286783801714296,1,True,0.1834203800482637,0.3710727881609091,0.445506831790827,0.1544389491998363,-2.207154223139962,2.2071542231399626,-0.4222783707922134,True,0.2023361386194198,0.6714646023233434,-0.2498629309041309,0.2231435513142101,-0.9990748021015068,ALG3|CWH41
KEGG,OST3,CWH41,0,CWH41|OST3,2.995646963775065,0.6157176119848133,3.3911306145976106,3.438366046671097,1,True,0.1812664944068296,0.3254817400182201,0.4932517655749502,0.1470318863550138,-2.379929351790252,2.379929351790252,2.5028717344624885,True,-0.7991509644257682,1.5246227553468623,-5.565999523204564,-2.079441541679836,-0.0780603483027746,CWH41|OST3
KEGG,UBC7,UFD2,0,UBC7|UFD2,1.702083196063787,0.6433047475818576,2.320456671829154,2.284031667793049,2,True,0.3633113729887172,0.5843253481604249,0.0523632788508579,0.3212404032377998,-1.0587784484819294,1.0587784484819294,0.5972756396601524,True,-0.0270877507176852,-0.1228325274195257,0.9750946175039834,-0.5596157879354227,-0.2368480597059738,UBC7|UFD2
KEGG,HRD1,UFD2,0,HRD1|UFD2,1.9108724602670053,0.6433047475818576,2.110659244116982,2.47937931362127,1,True,0.333645492012051,0.5496393083101423,0.1167151996778066,0.2891781877579834,-1.2675677126851477,1.2675677126851477,1.573401803430292,True,-0.5503885864456288,-0.0967492243954174,5.653444187685414,-1.252762968495368,-0.0836838608605151,HRD1|UFD2
KEGG,TLG2,GOS1,0,GOS1|TLG2,0.4771709343535571,0.6591860089543261,,1.1251624819317028,0,False,0.539366171587413,0.457986751359644,0.0026470770529429,0.5311394699634242,0.0,-0.182015074600769,1.3584698929681491,True,-0.5721010585585069,-0.7516350899136465,0.5412706537994705,-0.9162907318741552,0.5473786352240639,GOS1|TLG2
KEGG,SEC22,GOS1,0,GOS1|SEC22,1.8082163823501407,0.6591860089543261,1.6520674999999994,2.397399723139912,1,True,0.3601197832835555,0.561846817538908,0.0780333991775366,0.3117235827526815,-0.8367326086955312,1.1490303733958154,0.8336603499189225,True,-0.0787182320441499,-3.2327180999340746,9.509552713284842,-0.5108256237659909,0.3203690280263145,GOS1|SEC22
KEGG,STP22,GCS1,0,GCS1|STP22,0.3623650083769404,0.6782034512686153,,1.0321116611826595,0,False,0.4966961938814791,0.3990112765445948,0.1042925295739261,0.4551629957016569,0.0,-0.3158384428916748,0.6115325918686704,True,-0.1130896917135197,2.037222928715084,-5.254198690410677,-0.6931471805599453,-0.2239600893113235,GCS1|STP22
KEGG,DOA4,GCS1,0,DOA4|GCS1,0.5679589779112229,0.6782034512686153,,1.2319028399612475,0,False,0.5033232328647804,0.4597864171203868,0.0368903500148327,0.4828288597610755,0.0,-0.1102444733573924,-1.5128845125882495,True,0.4864813912118295,2.8867537124825877,-3.441847407769738,0.9162907318741552,-1.1251816134260295,DOA4|GCS1
KEGG,VPS28,GCS1,0,GCS1|VPS28,0.7089474274544649,0.6782034512686153,1.7541988252337517,1.3684220325447023,1,True,0.4908624433937227,0.5089799315291442,0.0001576250771331,0.494743798447639,-0.0307439761858496,0.0307439761858496,0.4729275703506605,True,0.2693759753681251,1.290063202844202,-5.758367810799355,-0.6931471805599453,-0.2684479659150761,GCS1|VPS28
KEGG,CWH41,ROT2,0,CWH41|ROT2,0.6157176119848133,0.6904081231682184,0.7576760420393449,1.2900451033008986,1,True,0.4999577279486727,0.5000422689454913,3.105836032801789e-09,0.5131600172225766,0.074690511183405,-0.074690511183405,-0.3941276686001568,True,-0.0215534505927177,-1.1558127237384872,4.963719313672028,0.4700036292457354,0.2468664522152453,CWH41|ROT2
