a,b,pair,target,S_F,S_reverse,S_d,SLB_F,SLB_reverse,SLB_d
UFD2,UBC7,UBC7|UFD2,0.0,-0.2183829070356145,-0.7062605501473557,0.2439388215558705,-0.9580175392127712,-1.1247434151919098,0.0833629379895692
HRD1,UBC7,HRD1|UBC7,0.0,-0.4558909379213814,-0.104365828676262,-0.1757625546225596,-0.813306976537872,-0.7332044120148781,-0.0400512822614969
MNS1,ALG5,ALG5|MNS1,0.0,0.0839756071315149,-0.1736690275962937,0.1288223173639043,-0.1859318622726928,-1.1171368164656967,0.465602477096502
CWH41,ALG5,ALG5|CWH41,0.0,-0.1930353161662182,-0.6986766752462025,0.2528206795399921,-0.6554557261992681,-0.6913821667490784,0.0179632202749051
ROT2,ALG5,ALG5|ROT2,0.0,-0.1928703235429971,-0.8803750978739235,0.3437523871654632,-0.3332860032824167,-0.5155449050523803,0.0911294508849817
OST5,ALG5,ALG5|OST5,0.0,0.6748797298900051,-0.9644865677869234,0.8196831488384643,-1.062305795793437,-1.3065119897186528,0.1221030969626079
ALG12,ALG5,ALG12|ALG5,0.0,-0.424928893293252,-0.0979192182966693,-0.1635048374982913,0.4534016686215698,-0.1730999240321827,0.3132507963268762
ALG9,ALG5,ALG5|ALG9,0.0,-0.7582701943982681,0.1905018749798112,-0.4743860346890397,-0.3990027263373985,0.1005849283768504,-0.2497938273571244
ALG3,ALG5,ALG3|ALG5,0.0,-0.1566994049671955,0.1255723664884297,-0.1411358857278126,-1.572884663622898,1.7494260286503664,-1.6611553461366322
OST3,ALG5,ALG5|OST3,0.0,-0.865416299478963,-0.5264152502796514,-0.1695005245996558,-0.8143196327165201,-0.165669716518117,-0.3243249580992015
PMT2,PMT1,PMT1|PMT2,0.0,-0.873977419743304,0.5831182402034487,-0.7285478299733763,-0.8688300543004948,-0.8459343283827911,-0.0114478629588518
TLG2,SEC22,SEC22|TLG2,0.0,-0.2959819284924166,-0.6563167072067898,0.1801673893571865,-0.7098263522594306,-1.0663055718358132,0.1782396097881913
GOS1,SEC22,GOS1|SEC22,0.0,-0.9848051378674384,-0.5746298065765055,-0.2050876656454664,-1.622797666464341,-0.9105164299362534,-0.356140618264044
UFD2,HRD1,HRD1|UFD2,0.0,-0.5779073702183962,-1.0103836092787457,0.2162381195301746,-0.7964289265141625,-0.9552422613992544,0.0794066674425459
UBC7,HRD1,HRD1|UBC7,0.0,-0.104365828676262,-0.4558909379213814,0.1757625546225596,-0.7332044120148781,-0.813306976537872,0.0400512822614969
MNS1,ALG8,ALG8|MNS1,0.0,0.0001612081619712,-0.1044872138499338,0.0523242110059525,-0.2632440839739473,-1.0776918869126213,0.407223901469337
CWH41,ALG8,ALG8|CWH41,0.0,-0.298593510882608,-0.9396893600609686,0.3205479245891802,-1.0403223468691891,-1.048793861976249,0.0042357575535297
ROT2,ALG8,ALG8|ROT2,0.0,-0.2955974042469387,-0.7193032565694361,0.2118529261612486,-0.8634064675516152,-0.8726955259790795,0.0046445292137321
OST5,ALG8,ALG8|OST5,0.0,0.4169973033539798,-1.0940335658772626,0.7555154346156212,-1.0652238833995873,-1.3826083526631436,0.1586922346317781
ALG5,ALG8,ALG5|ALG8,0.0,-0.1809324887089625,-0.1322846916168913,-0.0243238985460356,-0.7374457211683513,-0.0115419100436867,-0.3629519055623322
ALG12,ALG8,ALG12|ALG8,0.0,0.0769419121979265,0.0049825479167954,0.0359796821405655,-0.0897957437703011,-0.4465709400037637,0.1783875981167313
ALG9,ALG8,ALG8|ALG9,0.0,-0.1754603081813876,0.0932681574888497,-0.1343642328351186,-0.503058221491015,-0.3056373402258379,-0.0987104406325885
ALG6,ALG8,ALG6|ALG8,0.0,-0.5659544660368799,0.2159146025431907,-0.3909345342900353,-0.534934298683373,-0.0035309401885385,-0.2657016792474173
ALG3,ALG8,ALG3|ALG8,0.0,-0.5733835307331286,0.1350085736467948,-0.3541960521899617,-1.0940038017110534,0.3884151237935349,-0.7412094627522942
OST3,ALG8,ALG8|OST3,0.0,-0.236758172051255,-0.8080431445834161,0.2856424862660805,-0.6262145549818275,-0.3773758908339563,-0.1244193320739356
MNS1,ALG12,ALG12|MNS1,0.0,0.0033428138372901,-0.0982253307036512,0.0507840722704707,-1.0213172512327442,-1.1159161394888928,0.0472994441280743
CWH41,ALG12,ALG12|CWH41,0.0,-0.4922007007515346,-0.9151661174631448,0.2114827083558051,-1.0003218157641314,-0.8494209397222583,-0.0754504380209365
ROT2,ALG12,ALG12|ROT2,0.0,0.0812117913083665,-0.1534601938097617,0.1173359925590641,-0.3759968701758153,-1.297259218879358,0.4606311743517713
OST5,ALG12,ALG12|OST5,0.0,0.292517640256457,-0.9722329715553376,0.6323753059058973,0.420554530170394,-0.2127668729047645,0.3166607015375792
DIE2,ALG12,ALG12|DIE2,0.0,-0.4531515549639429,-0.88290700163376,0.2148777233349085,-0.2763502969381136,-1.009366678833825,0.3665081909478557
ALG5,ALG12,ALG12|ALG5,0.0,-0.0979192182966693,-0.424928893293252,0.1635048374982913,-0.1730999240321836,0.453401668621568,-0.3132507963268758
ALG8,ALG12,ALG12|ALG8,0.0,0.0049825479167954,0.0769419121979265,-0.0359796821405655,-0.4465709400037619,-0.0897957437702922,-0.1783875981167348
ALG9,ALG12,ALG12|ALG9,0.0,0.0098707811447169,0.0323005043798285,-0.0112148616175557,0.2301871494891241,0.3906772186225359,-0.0802450345667059
ALG6,ALG12,ALG12|ALG6,0.0,-0.3639676066947418,0.1292900920211887,-0.2466288493579652,-0.0015807003121748,-0.7019809829026593,0.3502001412952422
