scenario,seed,level,family,errors,error_rate,n,correct,accuracy,auroc,average_precision,squared_loss,certification_M,risk_upper,additive_error_lower,classification_certified,B1_integer_rule,auc_lower,auc_correction,auc_certified
B1,29,noise2,joint,241,0.058837890625,4096,3855,0.941162109375,0.9847695122218757,0.9853624746741675,0.22656559871922813,30.0,0.08825706625913697,0.14092571541269328,True,True,0.9259264188636148,0.05884309335826089,False
B1,29,noise2,A_match,1316,0.3212890625,4096,2780,0.6787109375,0.7193725814497614,0.7167065645772506,0.8591401366215835,,,,,,,,
B1,29,noise2,A_rbf,1315,0.321044921875,4096,2781,0.678955078125,0.7291035351728861,0.72730042528325,0.8428453291134308,,,,,,,,
B1,29,noise2,full_P_RBF,1315,0.321044921875,4096,2781,0.678955078125,0.7291035351728861,0.72730042528325,0.8428453291134308,,,,,,,,
B1,43,ideal,joint,232,0.056640625,4096,3864,0.943359375,0.9887622072175174,0.9888725636828801,0.21650461053585507,30.0,0.08605980063413697,0.14092571541269328,True,True,0.9299234070431107,0.05883880017440667,False
B1,43,ideal,A_match,1222,0.29833984375,4096,2874,0.70166015625,0.7319969768062867,0.6735082308717968,0.9484034076136438,,,,,,,,
B1,43,ideal,A_rbf,1258,0.30712890625,4096,2838,0.69287109375,0.7080755989166094,0.6510219201155343,0.9868348200086612,,,,,,,,
B1,43,ideal,full_P_RBF,1258,0.30712890625,4096,2838,0.69287109375,0.7080755989166094,0.6510219201155343,0.9868348200086612,,,,,,,,
B1,43,noise1,joint,270,0.06591796875,4096,3826,0.93408203125,0.9880054067531922,0.9876530140537789,0.21076966620594798,30.0,0.09533714438413697,0.14092571541269328,True,True,0.9291442534972781,0.05886115325591403,False
B1,43,noise1,A_match,1281,0.312744140625,4096,2815,0.687255859375,0.6960736616436674,0.6386595400967708,0.9498850766569478,,,,,,,,
B1,43,noise1,A_rbf,1281,0.312744140625,4096,2815,0.687255859375,0.6960736616436674,0.6386595400967708,0.9498850766569478,,,,,,,,
B1,43,noise1,full_P_RBF,1252,0.3056640625,4096,2844,0.6943359375,0.7132268605398879,0.6527910599234403,0.9213898838041776,,,,,,,,
B1,43,noise2,joint,246,0.06005859375,4096,3850,0.93994140625,0.9877999408701623,0.9885970812288607,0.2247230227341361,30.0,0.08947776938413697,0.14092571541269328,True,True,0.9289605795486406,0.05883936132152173,False
B1,43,noise2,A_match,1262,0.30810546875,4096,2834,0.69189453125,0.7532828981250119,0.746235723686939,0.8474785504887202,,,,,,,,
B1,43,noise2,A_rbf,1262,0.30810546875,4096,2834,0.69189453125,0.7567803803383754,0.7493860119309907,0.8246733071576917,,,,,,,,
B1,43,noise2,full_P_RBF,1262,0.30810546875,4096,2834,0.69189453125,0.7567803803383754,0.7493860119309907,0.8246733071576917,,,,,,,,
B2,17,ideal,joint,653,0.159423828125,4096,3443,0.840576171875,0.9131705536228149,0.9054124784499993,0.501596412677894,30.0,0.18884300375913698,0.062053269747480905,False,,0.8543085927931597,0.05886196082965516,False
B2,17,ideal,A_match,657,0.160400390625,4096,3439,0.839599609375,0.9033622528597404,0.8730028833947551,0.5542621901473475,,,,,,,,
B2,17,ideal,A_rbf,666,0.16259765625,4096,3430,0.83740234375,0.911309157372809,0.899892170104331,0.5127980244625715,,,,,,,,
B2,17,ideal,full_P_RBF,662,0.16162109375,4096,3434,0.83837890625,0.8718091883921031,0.8176079331608512,0.7674101521980481,,,,,,,,
B2,17,noise1,joint,692,0.1689453125,4096,3404,0.8310546875,0.863766636941521,0.8297101464918262,0.7712037093113162,30.0,0.19836448813413698,0.062053269747480905,False,,0.804926012980287,0.058840623961234066,False
B2,17,noise1,A_match,786,0.19189453125,4096,3310,0.80810546875,0.8460808110672916,0.8150059136850423,0.8494369615782882,,,,,,,,
B2,17,noise1,A_rbf,672,0.1640625,4096,3424,0.8359375,0.8622473163915898,0.831532799053176,0.7869860183895115,,,,,,,,
B2,17,noise1,full_P_RBF,664,0.162109375,4096,3432,0.837890625,0.8661753274932166,0.8352734658363455,0.7619372663344985,,,,,,,,
B2,17,noise2,joint,655,0.159912109375,4096,3441,0.840087890625,0.8760556073193224,0.8385474872208708,0.9677394974285156,30.0,0.18933128500913698,0.062053269747480905,False,,0.8172170035426131,0.05883860377670933,False
B2,17,noise2,A_match,660,0.1611328125,4096,3436,0.8388671875,0.9160723635208814,0.9129802593641898,0.4688529451739558,,,,,,,,
B2,17,noise2,A_rbf,661,0.161376953125,4096,3435,0.838623046875,0.8756328875503425,0.8369564675004987,0.971122550343394,,,,,,,,
B2,17,noise2,full_P_RBF,658,0.16064453125,4096,3438,0.83935546875,0.8762005670596156,0.8389216166894017,0.9656832153588297,,,,,,,,
B2,29,ideal,joint,643,0.156982421875,4096,3453,0.843017578125,0.8833136405095892,0.8514410146775829,0.8431431834676172,30.0,0.18640159750913698,0.062053269747480905,False,,0.8244701753117768,0.058843465197812375,False
B2,29,ideal,A_match,640,0.15625,4096,3456,0.84375,0.8839133674728603,0.8536777274262146,0.8430975518671056,,,,,,,,
B2,29,ideal,A_rbf,651,0.158935546875,4096,3445,0.841064453125,0.8856443487954788,0.8582976427639266,0.8064971457616361,,,,,,,,
B2,29,ideal,full_P_RBF,660,0.1611328125,4096,3436,0.8388671875,0.9158598570432149,0.9148848229059713,0.4830064836603851,,,,,,,,
B2,29,noise1,joint,642,0.15673828125,4096,3454,0.84326171875,0.8740142949143302,0.8320191711598208,0.7689130099093839,30.0,0.18615745688413698,0.062053269747480905,False,,0.8151743654149969,0.058839929499333345,False
B2,29,noise1,A_match,641,0.156494140625,4096,3455,0.843505859375,0.8720188627825084,0.8307953008408956,0.8502736040461161,,,,,,,,
B2,29,noise1,A_rbf,642,0.15673828125,4096,3454,0.84326171875,0.8750469411758814,0.8354194285257426,0.7598660151591072,,,,,,,,
